Input,Score,PPI
7zjm-model-76,0.2286,7zjm-model-76_A_Z
7zjm-model-77,0.2274,7zjm-model-77_A_Z
7zjm-model-78,0.1002,7zjm-model-78_A_Z
7zjm-model-79,0.1444,7zjm-model-79_A_Z
7zjm-model-8,0.1032,7zjm-model-8_A_Z
7zjm-model-80,0.1459,7zjm-model-80_A_Z
7zjm-model-81,0.2597,7zjm-model-81_A_Z
7zjm-model-82,0.0775,7zjm-model-82_A_Z
7zjm-model-83,0.408,7zjm-model-83_A_Z
7zjm-model-84,0.1053,7zjm-model-84_A_Z
7zjm-model-85,0.1083,7zjm-model-85_A_Z
7zjm-model-86,0.1153,7zjm-model-86_A_Z
7zjm-model-87,0.2058,7zjm-model-87_A_Z
7zjm-model-88,0.0744,7zjm-model-88_A_Z
7zjm-model-89,0.2742,7zjm-model-89_A_Z
7zjm-model-9,0.0765,7zjm-model-9_A_Z
7zjm-model-90,0.2547,7zjm-model-90_A_Z
7zjm-model-91,0.0358,7zjm-model-91_A_Z
7zjm-model-92,0.2377,7zjm-model-92_A_Z
7zjm-model-93,0.2531,7zjm-model-93_A_Z
7zjm-model-94,0.1362,7zjm-model-94_A_Z
7zjm-model-95,0.1565,7zjm-model-95_A_Z
7zjm-model-96,0.2037,7zjm-model-96_A_Z
7zjm-model-97,0.3165,7zjm-model-97_A_Z
7zjm-model-98,0.1118,7zjm-model-98_A_Z
7zjm-model-99,0.1273,7zjm-model-99_A_Z
8a82-model-1,0.1255,8a82-model-1_A_Z
8a82-model-10,0.1551,8a82-model-10_A_Z
8a82-model-100,0.1273,8a82-model-100_A_Z
8a82-model-11,0.2832,8a82-model-11_A_Z
8a82-model-12,0.2405,8a82-model-12_A_Z
8a82-model-13,0.2298,8a82-model-13_A_Z
8a82-model-14,0.0861,8a82-model-14_A_Z
8a82-model-15,0.146,8a82-model-15_A_Z
8a82-model-16,0.1522,8a82-model-16_A_Z
8a82-model-17,0.1348,8a82-model-17_A_Z
8a82-model-18,0.1231,8a82-model-18_A_Z
8a82-model-19,0.1259,8a82-model-19_A_Z
8a82-model-2,0.0911,8a82-model-2_A_Z
8a82-model-20,0.4139,8a82-model-20_A_Z
8a82-model-21,0.1034,8a82-model-21_A_Z
8a82-model-22,0.135,8a82-model-22_A_Z
8a82-model-23,0.2419,8a82-model-23_A_Z
8a82-model-24,0.0662,8a82-model-24_A_Z
8a82-model-25,0.1942,8a82-model-25_A_Z
8a82-model-26,0.1184,8a82-model-26_A_Z
8a82-model-27,0.2153,8a82-model-27_A_Z
8a82-model-28,0.0995,8a82-model-28_A_Z
8a82-model-29,0.1246,8a82-model-29_A_Z
8a82-model-3,0.3715,8a82-model-3_A_Z
8a82-model-30,0.2271,8a82-model-30_A_Z
8a82-model-31,0.1462,8a82-model-31_A_Z
8a82-model-32,0.2274,8a82-model-32_A_Z
8a82-model-33,0.1975,8a82-model-33_A_Z
8a82-model-34,0.0958,8a82-model-34_A_Z
8a82-model-35,0.214,8a82-model-35_A_Z
8a82-model-36,0.1145,8a82-model-36_A_Z
8a82-model-37,0.2062,8a82-model-37_A_Z
8a82-model-38,0.1157,8a82-model-38_A_Z
8a82-model-39,0.1205,8a82-model-39_A_Z
8a82-model-4,0.2924,8a82-model-4_A_Z
8a82-model-40,0.0725,8a82-model-40_A_Z
8a82-model-41,0.1798,8a82-model-41_A_Z
8a82-model-42,0.1995,8a82-model-42_A_Z
8a82-model-43,0.2359,8a82-model-43_A_Z
8a82-model-44,0.1959,8a82-model-44_A_Z
8a82-model-45,0.1965,8a82-model-45_A_Z
8a82-model-46,0.1865,8a82-model-46_A_Z
8a82-model-47,0.1362,8a82-model-47_A_Z
8a82-model-48,0.1044,8a82-model-48_A_Z
8a82-model-49,0.2656,8a82-model-49_A_Z
8a82-model-5,0.2717,8a82-model-5_A_Z
8a82-model-50,0.1386,8a82-model-50_A_Z
8a82-model-51,0.0922,8a82-model-51_A_Z
8a82-model-52,0.1134,8a82-model-52_A_Z
8a82-model-53,0.0833,8a82-model-53_A_Z
8a82-model-54,0.1842,8a82-model-54_A_Z
8a82-model-55,0.1752,8a82-model-55_A_Z
8a82-model-56,0.128,8a82-model-56_A_Z
8a82-model-57,0.2796,8a82-model-57_A_Z
8a82-model-58,0.2498,8a82-model-58_A_Z
8a82-model-59,0.26,8a82-model-59_A_Z
8a82-model-6,0.2479,8a82-model-6_A_Z
8a82-model-60,0.061,8a82-model-60_A_Z
8a82-model-61,0.1877,8a82-model-61_A_Z
8a82-model-62,0.1146,8a82-model-62_A_Z
8a82-model-63,0.3651,8a82-model-63_A_Z
8a82-model-64,0.0824,8a82-model-64_A_Z
8a82-model-65,0.2002,8a82-model-65_A_Z
8a82-model-66,0.4426,8a82-model-66_A_Z
8a82-model-67,0.1487,8a82-model-67_A_Z
8a82-model-68,0.2192,8a82-model-68_A_Z
8a82-model-69,0.1865,8a82-model-69_A_Z
8a82-model-7,0.1559,8a82-model-7_A_Z
8a82-model-70,0.133,8a82-model-70_A_Z
8a82-model-71,0.2606,8a82-model-71_A_Z
8a82-model-72,0.0893,8a82-model-72_A_Z
8a82-model-73,0.2371,8a82-model-73_A_Z
8a82-model-74,0.2154,8a82-model-74_A_Z
8a82-model-75,0.2353,8a82-model-75_A_Z
8a82-model-76,0.0599,8a82-model-76_A_Z
8a82-model-77,0.2708,8a82-model-77_A_Z
8a82-model-78,0.2351,8a82-model-78_A_Z
8a82-model-79,0.2141,8a82-model-79_A_Z
8a82-model-8,0.1437,8a82-model-8_A_Z
8a82-model-80,0.1105,8a82-model-80_A_Z
8a82-model-81,0.18,8a82-model-81_A_Z
8a82-model-82,0.0761,8a82-model-82_A_Z
8a82-model-83,0.2274,8a82-model-83_A_Z
8a82-model-84,0.2423,8a82-model-84_A_Z
8a82-model-85,0.2173,8a82-model-85_A_Z
8a82-model-86,0.228,8a82-model-86_A_Z
8a82-model-87,0.1248,8a82-model-87_A_Z
8a82-model-88,0.2182,8a82-model-88_A_Z
8a82-model-89,0.1073,8a82-model-89_A_Z
8a82-model-9,0.2288,8a82-model-9_A_Z
8a82-model-90,0.2177,8a82-model-90_A_Z
8a82-model-91,0.1086,8a82-model-91_A_Z
8a82-model-92,0.129,8a82-model-92_A_Z
8a82-model-93,0.0757,8a82-model-93_A_Z
8a82-model-94,0.1187,8a82-model-94_A_Z
8a82-model-95,0.2179,8a82-model-95_A_Z
8a82-model-96,0.2355,8a82-model-96_A_Z
8a82-model-97,0.2484,8a82-model-97_A_Z
8a82-model-98,0.283,8a82-model-98_A_Z
8a82-model-99,0.122,8a82-model-99_A_Z
8adb-model-1,0.1589,8adb-model-1_A_Z
8adb-model-10,0.2602,8adb-model-10_A_Z
8adb-model-100,0.1211,8adb-model-100_A_Z
8adb-model-11,0.2305,8adb-model-11_A_Z
8adb-model-12,0.1034,8adb-model-12_A_Z
8adb-model-13,0.2399,8adb-model-13_A_Z
8adb-model-14,0.2191,8adb-model-14_A_Z
8adb-model-15,0.1921,8adb-model-15_A_Z
8adb-model-16,0.113,8adb-model-16_A_Z
8adb-model-17,0.0951,8adb-model-17_A_Z
8adb-model-18,0.2478,8adb-model-18_A_Z
8adb-model-19,0.2134,8adb-model-19_A_Z
8adb-model-2,0.1996,8adb-model-2_A_Z
8adb-model-20,0.2558,8adb-model-20_A_Z
8adb-model-21,0.2286,8adb-model-21_A_Z
8adb-model-22,0.2508,8adb-model-22_A_Z
8adb-model-23,0.1067,8adb-model-23_A_Z
8adb-model-24,0.1386,8adb-model-24_A_Z
8adb-model-25,0.0815,8adb-model-25_A_Z
8adb-model-26,0.0986,8adb-model-26_A_Z
8adb-model-27,0.2493,8adb-model-27_A_Z
8adb-model-28,0.1054,8adb-model-28_A_Z
8adb-model-29,0.2274,8adb-model-29_A_Z
8adb-model-3,0.1994,8adb-model-3_A_Z
8adb-model-30,0.0577,8adb-model-30_A_Z
8adb-model-31,0.2041,8adb-model-31_A_Z
8adb-model-32,0.2368,8adb-model-32_A_Z
8adb-model-33,0.0903,8adb-model-33_A_Z
8adb-model-34,0.271,8adb-model-34_A_Z
8adb-model-35,0.2625,8adb-model-35_A_Z
8adb-model-36,0.0781,8adb-model-36_A_Z
8adb-model-37,0.1601,8adb-model-37_A_Z
8adb-model-38,0.0841,8adb-model-38_A_Z
8adb-model-39,0.1596,8adb-model-39_A_Z
8adb-model-4,0.2448,8adb-model-4_A_Z
8adb-model-40,0.1066,8adb-model-40_A_Z
8adb-model-41,0.2672,8adb-model-41_A_Z
8adb-model-42,0.1655,8adb-model-42_A_Z
8adb-model-43,0.2047,8adb-model-43_A_Z
8adb-model-44,0.0847,8adb-model-44_A_Z
8adb-model-45,0.209,8adb-model-45_A_Z
8adb-model-46,0.196,8adb-model-46_A_Z
8adb-model-47,0.2513,8adb-model-47_A_Z
8adb-model-48,0.2274,8adb-model-48_A_Z
8adb-model-49,0.0922,8adb-model-49_A_Z
8adb-model-5,0.2323,8adb-model-5_A_Z
8adb-model-50,0.0991,8adb-model-50_A_Z
8adb-model-51,0.2433,8adb-model-51_A_Z
8adb-model-52,0.2725,8adb-model-52_A_Z
8adb-model-53,0.191,8adb-model-53_A_Z
8adb-model-54,0.0869,8adb-model-54_A_Z
8adb-model-55,0.2237,8adb-model-55_A_Z
8adb-model-56,0.1212,8adb-model-56_A_Z
8adb-model-57,0.2708,8adb-model-57_A_Z
8adb-model-58,0.2274,8adb-model-58_A_Z
8adb-model-59,0.1282,8adb-model-59_A_Z
8adb-model-6,0.2752,8adb-model-6_A_Z
8adb-model-60,0.0893,8adb-model-60_A_Z
8adb-model-61,0.0926,8adb-model-61_A_Z
8adb-model-62,0.143,8adb-model-62_A_Z
8adb-model-63,0.2552,8adb-model-63_A_Z
8adb-model-64,0.2274,8adb-model-64_A_Z
8adb-model-65,0.2016,8adb-model-65_A_Z
8adb-model-66,0.0941,8adb-model-66_A_Z
8adb-model-67,0.2386,8adb-model-67_A_Z
8adb-model-68,0.2679,8adb-model-68_A_Z
8adb-model-69,0.1412,8adb-model-69_A_Z
8adb-model-7,0.17,8adb-model-7_A_Z
8adb-model-70,0.1406,8adb-model-70_A_Z
8adb-model-71,0.0776,8adb-model-71_A_Z
8adb-model-72,0.2045,8adb-model-72_A_Z
8adb-model-73,0.2274,8adb-model-73_A_Z
8adb-model-74,0.2967,8adb-model-74_A_Z
8adb-model-75,0.127,8adb-model-75_A_Z
8adb-model-76,0.113,8adb-model-76_A_Z
8adb-model-77,0.2323,8adb-model-77_A_Z
8adb-model-78,0.1433,8adb-model-78_A_Z
8adb-model-79,0.0869,8adb-model-79_A_Z
8adb-model-8,0.2952,8adb-model-8_A_Z
8adb-model-80,0.1038,8adb-model-80_A_Z
8adb-model-81,0.2898,8adb-model-81_A_Z
8adb-model-82,0.1769,8adb-model-82_A_Z
8adb-model-83,0.1301,8adb-model-83_A_Z
8adb-model-84,0.3033,8adb-model-84_A_Z
8adb-model-85,0.1405,8adb-model-85_A_Z
8adb-model-86,0.2339,8adb-model-86_A_Z
8adb-model-87,0.0797,8adb-model-87_A_Z
8adb-model-88,0.0957,8adb-model-88_A_Z
8adb-model-89,0.2476,8adb-model-89_A_Z
8adb-model-9,0.0672,8adb-model-9_A_Z
8adb-model-90,0.2464,8adb-model-90_A_Z
8adb-model-91,0.0926,8adb-model-91_A_Z
8adb-model-92,0.1357,8adb-model-92_A_Z
8adb-model-93,0.2274,8adb-model-93_A_Z
8adb-model-94,0.2596,8adb-model-94_A_Z
8adb-model-95,0.1088,8adb-model-95_A_Z
8adb-model-96,0.2412,8adb-model-96_A_Z
8adb-model-97,0.2752,8adb-model-97_A_Z
8adb-model-98,0.0699,8adb-model-98_A_Z
8adb-model-99,0.1045,8adb-model-99_A_Z
8ahs-model-1,0.7026,8ahs-model-1_A_Z
8ahs-model-10,0.721,8ahs-model-10_A_Z
8ahs-model-100,0.2695,8ahs-model-100_A_Z
8ahs-model-11,0.2326,8ahs-model-11_A_Z
8ahs-model-12,0.4021,8ahs-model-12_A_Z
8ahs-model-13,0.6609,8ahs-model-13_A_Z
8ahs-model-14,0.1641,8ahs-model-14_A_Z
8ahs-model-15,0.2382,8ahs-model-15_A_Z
8ahs-model-16,0.648,8ahs-model-16_A_Z
8ahs-model-17,0.4895,8ahs-model-17_A_Z
8ahs-model-18,0.2463,8ahs-model-18_A_Z
8ahs-model-19,0.2257,8ahs-model-19_A_Z
8ahs-model-2,0.2506,8ahs-model-2_A_Z
8ahs-model-20,0.2572,8ahs-model-20_A_Z
8ahs-model-21,0.6883,8ahs-model-21_A_Z
8ahs-model-22,0.1209,8ahs-model-22_A_Z
8ahs-model-23,0.6583,8ahs-model-23_A_Z
8ahs-model-24,0.1435,8ahs-model-24_A_Z
8ahs-model-25,0.2547,8ahs-model-25_A_Z
8ahs-model-26,0.4766,8ahs-model-26_A_Z
8ahs-model-27,0.2362,8ahs-model-27_A_Z
8ahs-model-28,0.6767,8ahs-model-28_A_Z
8ahs-model-29,0.1344,8ahs-model-29_A_Z
8ahs-model-3,0.2165,8ahs-model-3_A_Z
8ahs-model-30,0.2232,8ahs-model-30_A_Z
8ahs-model-31,0.5128,8ahs-model-31_A_Z
8ahs-model-32,0.2103,8ahs-model-32_A_Z
8ahs-model-33,0.1462,8ahs-model-33_A_Z
8ahs-model-34,0.1445,8ahs-model-34_A_Z
8ahs-model-35,0.7319,8ahs-model-35_A_Z
8ahs-model-36,0.7043,8ahs-model-36_A_Z
8ahs-model-37,0.1466,8ahs-model-37_A_Z
8ahs-model-38,0.2882,8ahs-model-38_A_Z
8ahs-model-39,0.6453,8ahs-model-39_A_Z
8ahs-model-4,0.6201,8ahs-model-4_A_Z
8ahs-model-40,0.0806,8ahs-model-40_A_Z
8ahs-model-41,0.6974,8ahs-model-41_A_Z
8ahs-model-42,0.096,8ahs-model-42_A_Z
8ahs-model-43,0.0917,8ahs-model-43_A_Z
8ahs-model-44,0.1053,8ahs-model-44_A_Z
8ahs-model-45,0.5228,8ahs-model-45_A_Z
8ahs-model-46,0.4645,8ahs-model-46_A_Z
8ahs-model-47,0.1369,8ahs-model-47_A_Z
8ahs-model-48,0.2125,8ahs-model-48_A_Z
8ahs-model-49,0.1337,8ahs-model-49_A_Z
8ahs-model-5,0.7034,8ahs-model-5_A_Z
8ahs-model-50,0.1556,8ahs-model-50_A_Z
8ahs-model-51,0.6917,8ahs-model-51_A_Z
8ahs-model-52,0.113,8ahs-model-52_A_Z
8ahs-model-53,0.6135,8ahs-model-53_A_Z
8ahs-model-54,0.345,8ahs-model-54_A_Z
8ahs-model-55,0.3473,8ahs-model-55_A_Z
8ahs-model-56,0.5586,8ahs-model-56_A_Z
8ahs-model-57,0.4456,8ahs-model-57_A_Z
8ahs-model-58,0.1586,8ahs-model-58_A_Z
8ahs-model-59,0.1298,8ahs-model-59_A_Z
8ahs-model-6,0.1591,8ahs-model-6_A_Z
8ahs-model-60,0.1001,8ahs-model-60_A_Z
8ahs-model-61,0.4098,8ahs-model-61_A_Z
8ahs-model-62,0.3587,8ahs-model-62_A_Z
8ahs-model-63,0.1291,8ahs-model-63_A_Z
8ahs-model-64,0.1037,8ahs-model-64_A_Z
8ahs-model-65,0.1502,8ahs-model-65_A_Z
8ahs-model-66,0.1708,8ahs-model-66_A_Z
8ahs-model-67,0.1683,8ahs-model-67_A_Z
8ahs-model-68,0.1392,8ahs-model-68_A_Z
8ahs-model-69,0.6902,8ahs-model-69_A_Z
8ahs-model-7,0.1778,8ahs-model-7_A_Z
8ahs-model-70,0.1087,8ahs-model-70_A_Z
8ahs-model-71,0.6582,8ahs-model-71_A_Z
8ahs-model-72,0.2374,8ahs-model-72_A_Z
8ahs-model-73,0.3781,8ahs-model-73_A_Z
8ahs-model-74,0.1763,8ahs-model-74_A_Z
8ahs-model-75,0.1418,8ahs-model-75_A_Z
8ahs-model-76,0.1264,8ahs-model-76_A_Z
8ahs-model-77,0.2958,8ahs-model-77_A_Z
8ahs-model-78,0.2261,8ahs-model-78_A_Z
8ahs-model-79,0.0973,8ahs-model-79_A_Z
8ahs-model-8,0.642,8ahs-model-8_A_Z
8ahs-model-80,0.2326,8ahs-model-80_A_Z
8ahs-model-81,0.1591,8ahs-model-81_A_Z
8ahs-model-82,0.0811,8ahs-model-82_A_Z
8ahs-model-83,0.1312,8ahs-model-83_A_Z
8ahs-model-84,0.1093,8ahs-model-84_A_Z
8ahs-model-85,0.1478,8ahs-model-85_A_Z
8ahs-model-86,0.1444,8ahs-model-86_A_Z
8ahs-model-87,0.1778,8ahs-model-87_A_Z
8ahs-model-88,0.0709,8ahs-model-88_A_Z
8ahs-model-89,0.505,8ahs-model-89_A_Z
8ahs-model-9,0.2574,8ahs-model-9_A_Z
8ahs-model-90,0.07,8ahs-model-90_A_Z
8ahs-model-91,0.5989,8ahs-model-91_A_Z
8ahs-model-92,0.1129,8ahs-model-92_A_Z
8ahs-model-93,0.1002,8ahs-model-93_A_Z
8ahs-model-94,0.1226,8ahs-model-94_A_Z
8ahs-model-95,0.1834,8ahs-model-95_A_Z
8ahs-model-96,0.1264,8ahs-model-96_A_Z
8ahs-model-97,0.2274,8ahs-model-97_A_Z
8ahs-model-98,0.0894,8ahs-model-98_A_Z
8ahs-model-99,0.3306,8ahs-model-99_A_Z
8aj8-model-1,0.1401,8aj8-model-1_A_Z
8aj8-model-10,0.1676,8aj8-model-10_A_Z
8aj8-model-11,0.2274,8aj8-model-11_A_Z
8aj8-model-12,0.2274,8aj8-model-12_A_Z
8aj8-model-13,0.1514,8aj8-model-13_A_Z
8aj8-model-14,0.1152,8aj8-model-14_A_Z
8aj8-model-15,0.2274,8aj8-model-15_A_Z
8aj8-model-16,0.2274,8aj8-model-16_A_Z
8aj8-model-17,0.2419,8aj8-model-17_A_Z
8aj8-model-18,0.2274,8aj8-model-18_A_Z
8aj8-model-19,0.237,8aj8-model-19_A_Z
8aj8-model-2,0.2134,8aj8-model-2_A_Z
8aj8-model-20,0.2274,8aj8-model-20_A_Z
8aj8-model-21,0.2274,8aj8-model-21_A_Z
8aj8-model-22,0.2274,8aj8-model-22_A_Z
8aj8-model-23,0.2274,8aj8-model-23_A_Z
8aj8-model-24,0.2274,8aj8-model-24_A_Z
8aj8-model-25,0.2274,8aj8-model-25_A_Z
8aj8-model-26,0.2443,8aj8-model-26_A_Z
8aj8-model-27,0.2274,8aj8-model-27_A_Z
8aj8-model-28,0.0776,8aj8-model-28_A_Z
8aj8-model-29,0.1098,8aj8-model-29_A_Z
8aj8-model-3,0.2274,8aj8-model-3_A_Z
8aj8-model-30,0.2274,8aj8-model-30_A_Z
8aj8-model-31,0.1092,8aj8-model-31_A_Z
8aj8-model-32,0.1617,8aj8-model-32_A_Z
8aj8-model-33,0.0566,8aj8-model-33_A_Z
8aj8-model-34,0.1078,8aj8-model-34_A_Z
8aj8-model-35,0.2274,8aj8-model-35_A_Z
8aj8-model-36,0.2274,8aj8-model-36_A_Z
8aj8-model-37,0.2274,8aj8-model-37_A_Z
8aj8-model-38,0.2274,8aj8-model-38_A_Z
8aj8-model-39,0.1667,8aj8-model-39_A_Z
8aj8-model-4,0.1249,8aj8-model-4_A_Z
8aj8-model-40,0.2274,8aj8-model-40_A_Z
8aj8-model-41,0.2274,8aj8-model-41_A_Z
8aj8-model-42,0.2274,8aj8-model-42_A_Z
8aj8-model-43,0.0591,8aj8-model-43_A_Z
8aj8-model-44,0.2274,8aj8-model-44_A_Z
8aj8-model-45,0.2393,8aj8-model-45_A_Z
8aj8-model-46,0.2274,8aj8-model-46_A_Z
8aj8-model-47,0.2133,8aj8-model-47_A_Z
8aj8-model-48,0.2274,8aj8-model-48_A_Z
8aj8-model-49,0.2274,8aj8-model-49_A_Z
8aj8-model-5,0.2274,8aj8-model-5_A_Z
8aj8-model-50,0.2274,8aj8-model-50_A_Z
8aj8-model-51,0.2274,8aj8-model-51_A_Z
8aj8-model-52,0.1435,8aj8-model-52_A_Z
8aj8-model-53,0.1411,8aj8-model-53_A_Z
8aj8-model-54,0.2387,8aj8-model-54_A_Z
8aj8-model-55,0.2682,8aj8-model-55_A_Z
8aj8-model-56,0.1314,8aj8-model-56_A_Z
8aj8-model-57,0.2274,8aj8-model-57_A_Z
8aj8-model-58,0.2274,8aj8-model-58_A_Z
8aj8-model-59,0.2269,8aj8-model-59_A_Z
8aj8-model-6,0.2287,8aj8-model-6_A_Z
8aj8-model-60,0.237,8aj8-model-60_A_Z
8aj8-model-61,0.1074,8aj8-model-61_A_Z
8aj8-model-62,0.1557,8aj8-model-62_A_Z
8aj8-model-63,0.2274,8aj8-model-63_A_Z
8aj8-model-64,0.0724,8aj8-model-64_A_Z
8aj8-model-65,0.2274,8aj8-model-65_A_Z
8aj8-model-66,0.2299,8aj8-model-66_A_Z
8aj8-model-67,0.2274,8aj8-model-67_A_Z
8aj8-model-68,0.1397,8aj8-model-68_A_Z
8aj8-model-69,0.1198,8aj8-model-69_A_Z
8aj8-model-7,0.0831,8aj8-model-7_A_Z
8aj8-model-70,0.2559,8aj8-model-70_A_Z
8aj8-model-71,0.2274,8aj8-model-71_A_Z
8aj8-model-72,0.2274,8aj8-model-72_A_Z
8aj8-model-73,0.2157,8aj8-model-73_A_Z
8aj8-model-74,0.2274,8aj8-model-74_A_Z
8aj8-model-75,0.2274,8aj8-model-75_A_Z
8aj8-model-76,0.2274,8aj8-model-76_A_Z
8aj8-model-77,0.1166,8aj8-model-77_A_Z
8aj8-model-78,0.0925,8aj8-model-78_A_Z
8aj8-model-79,0.2274,8aj8-model-79_A_Z
8aj8-model-8,0.2274,8aj8-model-8_A_Z
8aj8-model-80,0.114,8aj8-model-80_A_Z
8aj8-model-9,0.198,8aj8-model-9_A_Z
8aj8-model-100,0.2274,8aj8-model-100_A_Z
8aj8-model-81,0.0569,8aj8-model-81_A_Z
8aj8-model-82,0.2274,8aj8-model-82_A_Z
8aj8-model-83,0.2274,8aj8-model-83_A_Z
8aj8-model-84,0.2274,8aj8-model-84_A_Z
8aj8-model-85,0.0943,8aj8-model-85_A_Z
8aj8-model-86,0.2274,8aj8-model-86_A_Z
8aj8-model-87,0.1744,8aj8-model-87_A_Z
8aj8-model-88,0.1511,8aj8-model-88_A_Z
8aj8-model-89,0.2274,8aj8-model-89_A_Z
8aj8-model-90,0.0945,8aj8-model-90_A_Z
8aj8-model-91,0.2334,8aj8-model-91_A_Z
8aj8-model-92,0.2274,8aj8-model-92_A_Z
8aj8-model-93,0.2274,8aj8-model-93_A_Z
8aj8-model-94,0.2274,8aj8-model-94_A_Z
8aj8-model-95,0.2274,8aj8-model-95_A_Z
8aj8-model-96,0.1117,8aj8-model-96_A_Z
8aj8-model-97,0.1005,8aj8-model-97_A_Z
8aj8-model-98,0.2274,8aj8-model-98_A_Z
8aj8-model-99,0.2274,8aj8-model-99_A_Z
8alk-model-1,0.2446,8alk-model-1_A_Z
8alk-model-10,0.0677,8alk-model-10_A_Z
8alk-model-100,0.0966,8alk-model-100_A_Z
8alk-model-11,0.4708,8alk-model-11_A_Z
8alk-model-12,0.0935,8alk-model-12_A_Z
8alk-model-13,0.192,8alk-model-13_A_Z
8alk-model-14,0.0609,8alk-model-14_A_Z
8alk-model-15,0.2723,8alk-model-15_A_Z
8alk-model-16,0.181,8alk-model-16_A_Z
8alk-model-17,0.0862,8alk-model-17_A_Z
8alk-model-18,0.2225,8alk-model-18_A_Z
8alk-model-19,0.2274,8alk-model-19_A_Z
8alk-model-2,0.2274,8alk-model-2_A_Z
8alk-model-20,0.2274,8alk-model-20_A_Z
8alk-model-21,0.1964,8alk-model-21_A_Z
8alk-model-22,0.2274,8alk-model-22_A_Z
8alk-model-23,0.1689,8alk-model-23_A_Z
8alk-model-24,0.155,8alk-model-24_A_Z
8alk-model-25,0.2044,8alk-model-25_A_Z
8alk-model-26,0.2171,8alk-model-26_A_Z
8alk-model-27,0.0773,8alk-model-27_A_Z
8alk-model-28,0.1381,8alk-model-28_A_Z
8alk-model-29,0.2274,8alk-model-29_A_Z
8alk-model-3,0.2338,8alk-model-3_A_Z
8alk-model-30,0.187,8alk-model-30_A_Z
8alk-model-31,0.0999,8alk-model-31_A_Z
8alk-model-32,0.2438,8alk-model-32_A_Z
8alk-model-33,0.1565,8alk-model-33_A_Z
8alk-model-34,0.2454,8alk-model-34_A_Z
8alk-model-35,0.1609,8alk-model-35_A_Z
8alk-model-36,0.1233,8alk-model-36_A_Z
8alk-model-37,0.0701,8alk-model-37_A_Z
8alk-model-38,0.0905,8alk-model-38_A_Z
8alk-model-39,0.2287,8alk-model-39_A_Z
8alk-model-4,0.0953,8alk-model-4_A_Z
8alk-model-40,0.1987,8alk-model-40_A_Z
8alk-model-41,0.1304,8alk-model-41_A_Z
8alk-model-42,0.2286,8alk-model-42_A_Z
8alk-model-43,0.2274,8alk-model-43_A_Z
8alk-model-44,0.2222,8alk-model-44_A_Z
8alk-model-45,0.1309,8alk-model-45_A_Z
8alk-model-46,0.153,8alk-model-46_A_Z
8alk-model-47,0.0949,8alk-model-47_A_Z
8alk-model-48,0.6862,8alk-model-48_A_Z
8alk-model-49,0.0493,8alk-model-49_A_Z
8alk-model-5,0.2663,8alk-model-5_A_Z
8alk-model-50,0.1312,8alk-model-50_A_Z
8alk-model-51,0.2274,8alk-model-51_A_Z
8alk-model-52,0.1296,8alk-model-52_A_Z
8alk-model-53,0.2338,8alk-model-53_A_Z
8alk-model-54,0.2274,8alk-model-54_A_Z
8alk-model-55,0.2064,8alk-model-55_A_Z
8alk-model-56,0.236,8alk-model-56_A_Z
8alk-model-57,0.0951,8alk-model-57_A_Z
8alk-model-58,0.183,8alk-model-58_A_Z
8alk-model-59,0.0908,8alk-model-59_A_Z
8alk-model-6,0.1875,8alk-model-6_A_Z
8alk-model-60,0.2152,8alk-model-60_A_Z
8alk-model-61,0.0927,8alk-model-61_A_Z
8alk-model-62,0.051,8alk-model-62_A_Z
8alk-model-63,0.1037,8alk-model-63_A_Z
8alk-model-64,0.2363,8alk-model-64_A_Z
8alk-model-65,0.2569,8alk-model-65_A_Z
8alk-model-66,0.2458,8alk-model-66_A_Z
8alk-model-67,0.1611,8alk-model-67_A_Z
8alk-model-68,0.1582,8alk-model-68_A_Z
8alk-model-69,0.084,8alk-model-69_A_Z
8alk-model-7,0.2451,8alk-model-7_A_Z
8alk-model-70,0.251,8alk-model-70_A_Z
8alk-model-71,0.1009,8alk-model-71_A_Z
8alk-model-72,0.2546,8alk-model-72_A_Z
8alk-model-73,0.2698,8alk-model-73_A_Z
8alk-model-74,0.2011,8alk-model-74_A_Z
8alk-model-75,0.2122,8alk-model-75_A_Z
8alk-model-76,0.2445,8alk-model-76_A_Z
8alk-model-77,0.1135,8alk-model-77_A_Z
8alk-model-78,0.2579,8alk-model-78_A_Z
8alk-model-79,0.2274,8alk-model-79_A_Z
8alk-model-8,0.1185,8alk-model-8_A_Z
8alk-model-80,0.0949,8alk-model-80_A_Z
8alk-model-81,0.1083,8alk-model-81_A_Z
8alk-model-82,0.2085,8alk-model-82_A_Z
8alk-model-83,0.1223,8alk-model-83_A_Z
8alk-model-84,0.0784,8alk-model-84_A_Z
8alk-model-85,0.2055,8alk-model-85_A_Z
8alk-model-86,0.24,8alk-model-86_A_Z
8alk-model-87,0.2124,8alk-model-87_A_Z
8alk-model-88,0.1646,8alk-model-88_A_Z
8alk-model-89,0.1084,8alk-model-89_A_Z
8alk-model-9,0.1253,8alk-model-9_A_Z
8alk-model-90,0.2274,8alk-model-90_A_Z
8alk-model-91,0.133,8alk-model-91_A_Z
8alk-model-92,0.1722,8alk-model-92_A_Z
8alk-model-93,0.0809,8alk-model-93_A_Z
8alk-model-94,0.2337,8alk-model-94_A_Z
8alk-model-95,0.1854,8alk-model-95_A_Z
